0_0_0	0	0	0

10_10_10	10000	10000	10000
10_-10_10	10000	-10000	10000
-10_-10_10	-10000	-10000	10000
-10_10_10	-10000	10000	10000

10_10_-10	10000	10000	-10000
10_-10_-10	10000	-10000	-10000
-10_-10_-10	-10000	-10000	-10000
-10_10_-10	-10000	10000	-10000
