  -2.4000000e+01	  -2.4000000e+01	   1.8651747e-14	   6.7033248e+00	  -6.6579129e+00	  -3.9035425e-01	
  -2.2736842e+01	  -2.4000000e+01	   1.8651747e-14	   6.7033248e+00	  -6.3104007e+00	  -3.6993733e-01	
  -2.1473684e+01	  -2.4000000e+01	   1.8651747e-14	   6.7033248e+00	  -5.9624218e+00	  -3.4949980e-01	
  -1.8947368e+01	  -2.4000000e+01	   1.8651747e-14	   6.7033248e+00	  -5.2651629e+00	  -3.0856733e-01	
  -1.6421053e+01	  -2.4000000e+01	   1.8651747e-14	   6.7033248e+00	  -4.5663367e+00	  -2.6756575e-01	
  -1.3894737e+01	  -2.4000000e+01	   1.8651747e-14	   6.7033248e+00	  -3.8661464e+00	  -2.2650405e-01	
  -1.1368421e+01	  -2.4000000e+01	   1.8651747e-14	   6.7033248e+00	  -3.1647978e+00	  -1.8539134e-01	
  -8.8421053e+00	  -2.4000000e+01	   1.8651747e-14	   6.7033248e+00	  -2.4624985e+00	  -1.4423678e-01	
  -6.3157895e+00	  -2.4000000e+01	   1.8651747e-14	   6.7033248e+00	  -1.7594580e+00	  -1.0304961e-01	
  -3.7894737e+00	  -2.4000000e+01	   1.8651747e-14	   6.7033248e+00	  -1.0558872e+00	  -6.1839105e-02	
  -1.2631579e+00	  -2.4000000e+01	   1.8651747e-14	   6.7033248e+00	  -3.5199783e-01	  -2.0614593e-02	
   1.2631579e+00	  -2.4000000e+01	   1.8651747e-14	   6.7033248e+00	   3.5199783e-01	   2.0614593e-02	
   3.7894737e+00	  -2.4000000e+01	   1.8651747e-14	   6.7033248e+00	   1.0558872e+00	   6.1839105e-02	
   6.3157895e+00	  -2.4000000e+01	   1.8651747e-14	   6.7033248e+00	   1.7594580e+00	   1.0304961e-01	
   8.8421053e+00	  -2.4000000e+01	   1.8651747e-14	   6.7033248e+00	   2.4624985e+00	   1.4423678e-01	
   1.1368421e+01	  -2.4000000e+01	   1.8651747e-14	   6.7033248e+00	   3.1647978e+00	   1.8539134e-01	
   1.3894737e+01	  -2.4000000e+01	   1.8651747e-14	   6.7033248e+00	   3.8661464e+00	   2.2650405e-01	
   1.6421053e+01	  -2.4000000e+01	   1.8651747e-14	   6.7033248e+00	   4.5663367e+00	   2.6756575e-01	
   1.8947368e+01	  -2.4000000e+01	   1.8651747e-14	   6.7033248e+00	   5.2651629e+00	   3.0856733e-01	
   2.1473684e+01	  -2.4000000e+01	   1.8651747e-14	   6.7033248e+00	   5.9624218e+00	   3.4949980e-01	
   2.4000000e+01	  -2.4000000e+01	   1.8651747e-14	   6.7033248e+00	   6.6579129e+00	   3.9035425e-01	
  -2.4000000e+01	  -2.1473684e+01	   1.8651747e-14	   6.0031635e+00	  -6.6668964e+00	  -3.4997567e-01	
  -2.1473684e+01	  -2.1473684e+01	   1.8651747e-14	   6.0031635e+00	  -5.9704814e+00	  -3.1334776e-01	
  -1.8947368e+01	  -2.1473684e+01	   1.8651747e-14	   6.0031635e+00	  -5.2722914e+00	  -2.7664974e-01	
  -1.6421053e+01	  -2.1473684e+01	   1.8651747e-14	   6.0031635e+00	  -4.5725277e+00	  -2.3988959e-01	
  -1.3894737e+01	  -2.1473684e+01	   1.8651747e-14	   6.0031635e+00	  -3.8713944e+00	  -2.0307541e-01	
  -1.1368421e+01	  -2.1473684e+01	   1.8651747e-14	   6.0031635e+00	  -3.1690980e+00	  -1.6621538e-01	
  -8.8421053e+00	  -2.1473684e+01	   1.8651747e-14	   6.0031635e+00	  -2.4658472e+00	  -1.2931774e-01	
  -6.3157895e+00	  -2.1473684e+01	   1.8651747e-14	   6.0031635e+00	  -1.7618521e+00	  -9.2390790e-02	
  -3.7894737e+00	  -2.1473684e+01	   1.8651747e-14	   6.0031635e+00	  -1.0573245e+00	  -5.5442871e-02	
  -1.2631579e+00	  -2.1473684e+01	   1.8651747e-14	   6.0031635e+00	  -3.5247708e-01	  -1.8482357e-02	
   1.2631579e+00	  -2.1473684e+01	   1.8651747e-14	   6.0031635e+00	   3.5247708e-01	   1.8482357e-02	
